symbol,kind,date,opportunity_pct,covered,missed,nearest_signal_date,signal_offset_days
TEM,buy,2025-12-31,26.77296627087835,True,False,2026-01-02,1.0
YINN,buy,2024-08-05,26.30167335808553,True,False,2024-08-05,0.0
SNOW,buy,2022-01-28,26.241375568726056,True,False,2022-02-01,2.0
TSLA,buy,2023-08-18,25.92191701353923,True,False,2023-08-21,1.0
SNOW,buy,2026-06-25,24.068888415492594,True,False,2026-06-26,1.0
MRNA,buy,2024-11-15,23.76141085841439,True,False,2024-11-18,1.0
TEM,buy,2026-02-12,21.473352053052984,True,False,2026-02-19,4.0
NFLX,buy,2022-01-24,20.926301106115265,True,False,2022-01-31,5.0
TQQQ,buy,2022-01-24,20.72020291059342,True,False,2022-01-24,0.0
SNOW,buy,2022-11-09,19.91434167095605,True,False,2022-11-10,1.0
NFLX,buy,2024-05-01,19.465130085070868,True,False,2024-05-03,2.0
MRNA,buy,2023-08-16,19.274676475205798,True,False,2023-08-17,1.0
NFLX,buy,2024-08-05,18.432624470677574,True,False,2024-08-09,4.0
SNOW,buy,2024-06-25,18.41850448939408,True,False,2024-06-26,1.0
TSLA,buy,2025-03-11,18.052748427490517,True,False,2025-03-12,1.0
GOOGL,buy,2022-01-24,17.71515229453704,True,False,2022-01-31,5.0
YINN,buy,2025-12-16,17.294278353189352,True,False,2025-12-19,3.0
NFLX,buy,2022-05-12,17.05803417336633,True,False,2022-05-13,1.0
SNOW,buy,2026-02-05,16.142942979420006,True,False,2026-02-10,3.0
NFLX,buy,2026-07-17,15.237124866231543,True,False,2026-07-17,0.0
YINN,sell,2025-03-18,59.61901233013464,False,True,,
YINN,sell,2022-02-10,57.84946154522639,False,True,,
YINN,sell,2022-10-05,57.49189222181166,False,True,,
TEM,sell,2025-02-14,53.26895306308897,False,True,,
AAOI,sell,2025-02-10,52.8337345559466,False,True,,
AAOI,sell,2025-03-17,52.507165992430174,False,True,,
NFLX,sell,2022-03-29,51.79822989437729,False,True,,
TEM,sell,2024-12-02,48.135103421222205,False,True,,
TQQQ,sell,2025-03-25,47.478991818415594,False,True,,
AAOI,sell,2025-10-29,46.361266744877724,False,True,,
AAOI,sell,2023-07-13,46.23852900368678,False,True,,
MRNA,sell,2021-12-31,44.08789215804924,False,True,,
TQQQ,sell,2021-12-28,43.762782824160496,False,True,,
TSLA,sell,2022-12-01,43.56033029892047,False,True,,
YINN,sell,2022-04-04,42.90844021277107,False,True,,
TQQQ,sell,2024-07-10,42.567967452442545,False,True,,
NFLX,sell,2021-12-30,42.38455070418783,False,True,,
AAOI,sell,2024-02-16,41.40926281064953,False,True,,
AAOI,sell,2024-12-26,41.154514987185784,False,True,,
AAOI,sell,2026-06-04,40.75279270836813,False,True,,
AAOI,sell,2024-07-16,40.65544878739339,False,True,,
TSLA,sell,2025-02-19,39.96846604243134,False,True,,
AAOI,sell,2023-10-02,39.78300547259002,False,True,,
TQQQ,sell,2022-03-29,39.41309465820192,False,True,,
AAOI,sell,2023-03-09,39.285711548766265,False,True,,
MRNA,sell,2021-10-26,38.71895229807779,False,True,,
MRNA,sell,2023-10-11,38.676471336215144,False,True,,
AAOI,sell,2026-07-14,38.59514489839842,False,True,,
YINN,sell,2023-01-27,37.89968045333797,False,True,,
TEM,sell,2025-03-25,37.48165985648679,False,True,,
YINN,sell,2022-08-26,37.415842780916044,False,True,,
AAOI,sell,2022-06-08,37.39496059281675,False,True,,
YINN,sell,2023-07-31,36.70395189911576,False,True,,
TQQQ,sell,2025-02-19,36.65740456120938,False,True,,
AAOI,sell,2023-08-24,36.101451319522425,False,True,,
MRNA,sell,2026-07-06,35.85870788534646,False,True,,
YINN,sell,2022-07-07,35.674276618256684,False,True,,
TQQQ,sell,2022-06-02,35.666864810550415,False,True,,
MRNA,sell,2024-07-12,35.53261711105002,False,True,,
NVDA,sell,2022-03-29,35.38015699775355,False,True,,
TQQQ,sell,2022-09-12,35.19828947656647,False,True,,
AAOI,sell,2021-12-27,35.06261153212296,False,True,,
TEM,sell,2024-08-22,34.81269589993797,False,True,,
MRNA,sell,2021-09-23,34.480450952942185,False,True,,
SNOW,sell,2024-02-27,34.34886002463096,False,True,,
SNOW,sell,2022-04-29,34.17885028413906,False,True,,
YINN,sell,2021-11-16,34.17412488083339,False,True,,
MRNA,sell,2024-10-29,34.15486492484373,False,True,,
TSLA,sell,2022-05-04,33.91301037127111,False,True,,
AAOI,sell,2023-12-19,33.83259932622702,False,True,,
YINN,sell,2026-06-02,33.64336006557658,False,True,,
SNOW,sell,2026-03-12,33.60273656197565,False,True,,
MRNA,sell,2021-11-29,33.58268290995596,False,True,,
MRNA,sell,2025-03-13,33.55338829752931,False,True,,
AAOI,sell,2024-05-24,33.490199668734675,False,True,,
TEM,sell,2026-07-01,33.273320006657926,False,True,,
MRNA,sell,2025-01-07,32.89915639089236,False,True,,
YINN,sell,2021-09-07,32.21476704802638,False,True,,
AAOI,sell,2026-03-11,31.987364512702708,False,True,,
TSLA,sell,2022-09-21,31.91488906972778,False,True,,
AAOI,sell,2022-04-21,31.632654716219456,False,True,,
TQQQ,sell,2022-02-02,31.54079670316272,False,True,,
AAOI,sell,2025-07-15,31.265122643900323,False,True,,
MRNA,sell,2022-08-04,31.257295995892964,False,True,,
NVDA,sell,2021-12-28,31.001222232856062,False,True,,
YINN,sell,2023-12-29,30.99897236927567,False,True,,
TSLA,sell,2022-01-04,30.928359797248206,False,True,,
NVDA,sell,2022-08-15,30.766385178167234,False,True,,
TSLA,sell,2026-07-01,30.520315390367735,False,True,,
SNOW,sell,2026-01-08,30.44563009076805,False,True,,
AAOI,sell,2023-04-12,30.43478012986349,False,True,,
YINN,sell,2023-11-15,30.000002879016808,False,True,,
TSLA,sell,2023-12-28,29.415917973154336,False,True,,
MRNA,sell,2022-04-13,29.408621673074343,False,True,,
AAOI,sell,2022-10-18,29.351539724236776,False,True,,
TEM,sell,2025-10-09,28.71159641486515,False,True,,
AAOI,sell,2022-02-18,28.571425327638234,False,True,,
TEM,sell,2026-01-12,28.46551252339942,False,True,,
YINN,sell,2026-02-10,28.405280749267646,False,True,,
MRNA,sell,2024-08-19,28.16001552552757,False,True,,
TQQQ,sell,2022-12-01,27.912879678781223,False,True,,
YINN,sell,2023-05-08,27.874999046325687,False,True,,
YINN,sell,2024-05-17,27.826357651571378,False,True,,
SNOW,sell,2022-10-25,27.69729420697118,False,True,,
MRNA,sell,2025-07-23,27.61087643841098,False,True,,
TSLA,sell,2023-10-10,27.096168886241433,False,True,,
TQQQ,sell,2026-06-30,26.841972485333375,False,True,,
SNOW,sell,2022-03-29,26.799712500382256,False,True,,
AAOI,sell,2022-08-16,26.736117664862302,False,True,,
NVDA,sell,2025-03-17,26.593218011371157,False,True,,
TSLA,sell,2022-11-01,26.4776113176421,False,True,,
AAOI,sell,2025-05-13,26.464840057451433,False,True,,
SNOW,sell,2025-03-25,26.431853920905912,False,True,,
MRNA,sell,2026-01-22,26.413316917238795,False,True,,
AAOI,sell,2024-03-21,26.190472637753537,False,True,,
AAOI,sell,2022-12-05,25.833333071909447,False,True,,
SNOW,sell,2021-12-22,25.43661627970951,False,True,,
MRNA,sell,2024-06-06,25.374696214863413,False,True,,
AAOI,sell,2021-10-14,24.898507564192506,False,True,,
YINN,sell,2023-03-02,24.898373597643264,False,True,,
TSLA,sell,2025-01-17,24.85669492044297,False,True,,
SNOW,sell,2023-02-15,24.818714878015346,False,True,,
YINN,sell,2024-07-12,24.745624742465232,False,True,,
YINN,sell,2023-10-11,24.677418124291208,False,True,,
NVDA,sell,2022-06-02,24.578138319054375,False,True,,
YINN,sell,2024-11-07,24.49404169237235,False,True,,
SNOW,sell,2022-09-15,24.419994549697034,False,True,,
TSLA,sell,2021-11-22,24.10172640702404,False,True,,
YINN,sell,2025-10-02,23.96709276059701,False,True,,
TSLA,sell,2023-03-31,23.780705154342662,False,True,,
TQQQ,sell,2025-10-29,23.703516043500095,False,True,,
AAOI,sell,2026-05-01,23.5442885960752,False,True,,
TSLA,sell,2024-03-26,23.488230941065446,False,True,,
SNOW,sell,2021-11-17,23.406018708881582,False,True,,
TEM,sell,2025-12-08,23.317685181214532,False,True,,
TQQQ,sell,2021-09-07,23.279085735294714,False,True,,
TSLA,sell,2025-05-29,23.15200272900223,False,True,,
SNOW,sell,2025-02-18,22.832979727827396,False,True,,
NVDA,sell,2022-12-13,22.81091787722388,False,True,,
MRNA,sell,2023-02-15,22.77113421985422,False,True,,
YINN,sell,2024-12-09,22.7386926395153,False,True,,
TSLA,sell,2022-02-07,22.697203927446928,False,True,,
MRNA,sell,2022-02-11,22.54611849482313,False,True,,
AAOI,sell,2024-09-24,22.374999523162852,False,True,,
TSLA,sell,2025-03-27,22.25487682727025,False,True,,
MRNA,sell,2024-09-30,22.151049516284093,False,True,,
MRNA,sell,2022-06-08,22.127175412856293,False,True,,
TQQQ,sell,2023-10-12,22.051672458554872,False,True,,
MSFT,sell,2026-06-01,21.85821509319853,False,True,,
TQQQ,sell,2024-03-21,21.551307488401548,False,True,,
TEM,sell,2026-04-16,21.453566677216386,False,True,,
SNOW,sell,2022-12-13,21.2843233368731,False,True,,
MRNA,sell,2026-04-21,21.155236277797542,False,True,,
NVDA,sell,2024-03-25,21.12131908430388,False,True,,
TEM,sell,2024-07-17,21.077964020136385,False,True,,
TQQQ,sell,2023-07-31,21.031470494364125,False,True,,
SNOW,sell,2023-05-18,21.012249478095157,False,True,,
MRNA,sell,2023-07-13,20.952455060432563,False,True,,
NFLX,sell,2022-02-01,20.86558947390369,False,True,,
GOOGL,sell,2022-03-29,20.86445438156761,False,True,,
TEM,sell,2024-10-18,20.84507133061627,False,True,,
TEM,sell,2025-06-16,20.840306639945204,False,True,,
NVDA,sell,2025-01-07,20.73923363380382,False,True,,
TSLA,sell,2023-02-28,20.513070013354117,False,True,,
TQQQ,sell,2022-10-25,20.443840152387484,False,True,,
NVDA,sell,2022-02-10,20.319496346922538,False,True,,
TQQQ,sell,2024-12-16,20.303582718028235,False,True,,
MRNA,sell,2025-10-30,19.9281219200519,False,True,,
SNOW,sell,2024-05-23,19.927908704198217,False,True,,
TEM,sell,2026-02-20,19.815744747215458,False,True,,
TQQQ,sell,2023-09-01,19.58908040860672,False,True,,
NFLX,sell,2025-02-14,19.386795331846997,False,True,,
TSLA,sell,2023-07-19,19.380452550056106,False,True,,
YINN,sell,2023-09-01,19.333921034305746,False,True,,
SNOW,sell,2025-12-02,19.29697063801593,False,True,,
