case,rule,symbols,start,end,cost,total,cagr,mdd,sharpe,calmar,trades,win,worst_trade,median_trade,exposure,profit_to_loss,entry_events,entry_win,entry_interference,b_events,b_win,b_interference,jf_events,jf_win,jf_interference,s_events,s_win,s_interference
only_MSFT,v5,MSFT,2021-08-27,2026-08-27,0.001,25.06134511355913,4.5928526438054895,24.162530104592793,0.3265729431604539,0.19008161082156225,4,50.0,-21.59643001259398,9.7371215662379,0.5250996015936255,2,6,66.66666666666666,33.33333333333333,5,60.0,40.0,1,100.0,0.0,1,100.0,0.0
only_MSFT,s-cooldown40,MSFT,2021-08-27,2026-08-27,0.001,25.06134511355913,4.5928526438054895,24.162530104592793,0.3265729431604539,0.19008161082156225,4,50.0,-21.59643001259398,9.7371215662379,0.5250996015936255,2,6,66.66666666666666,33.33333333333333,5,60.0,40.0,1,100.0,0.0,1,100.0,0.0
without_NFLX,v5,"TQQQ,MSFT,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2026-08-27,0.001,140.61795650480354,19.280500808384595,16.56043677212634,1.1410802759472907,1.164250742518852,76,50.0,-34.38185233852087,0.06538526366255959,0.2958831341301461,31,94,57.446808510638306,41.48936170212766,52,50.0,48.07692307692308,42,66.66666666666666,33.33333333333333,56,51.78571428571429,41.07142857142857
without_NFLX,s-cooldown40,"TQQQ,MSFT,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2026-08-27,0.001,136.24140951899045,18.84165737313024,16.56043677212634,1.1309376971534042,1.1377512340038958,76,48.68421052631579,-34.38185233852087,-0.13094417495345123,0.29322709163346616,32,94,57.446808510638306,41.48936170212766,52,50.0,48.07692307692308,42,66.66666666666666,33.33333333333333,64,51.5625,40.625
only_NFLX,v5,NFLX,2021-08-27,2026-08-27,0.001,328.96703639846294,33.96418538036807,21.57231063446934,1.3162533160342058,1.5744342808645804,6,100.0,7.260260420213327,16.57481672567573,0.5346613545816733,0,10,90.0,10.0,8,87.5,12.5,2,100.0,0.0,5,80.0,20.0
only_NFLX,s-cooldown40,NFLX,2021-08-27,2026-08-27,0.001,328.96703639846294,33.96418538036807,21.57231063446934,1.3162533160342058,1.5744342808645804,6,100.0,7.260260420213327,16.57481672567573,0.5346613545816733,0,10,90.0,10.0,8,87.5,12.5,2,100.0,0.0,5,80.0,20.0
without_YINN,v5,"TQQQ,MSFT,NFLX,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2026-08-27,0.001,150.20298718432076,20.21976165861592,14.235218423150675,1.2896046327239274,1.4204040329815106,67,55.223880597014926,-27.047831583052417,3.7543327154057726,0.31677733510402833,25,86,62.7906976744186,36.04651162790697,51,54.90196078431373,43.13725490196079,35,74.28571428571429,25.71428571428571,53,52.83018867924528,39.62264150943396
without_YINN,s-cooldown40,"TQQQ,MSFT,NFLX,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2026-08-27,0.001,145.58267715527876,19.770664867691657,14.235218423150675,1.2791346691881331,1.3888557435507072,67,53.73134328358209,-27.047831583052417,3.7543327154057726,0.3141212926073484,26,86,62.7906976744186,36.04651162790697,51,54.90196078431373,43.13725490196079,35,74.28571428571429,25.71428571428571,58,51.724137931034484,39.6551724137931
only_YINN,v5,YINN,2021-08-27,2026-08-27,0.001,74.02191793496785,11.766720130871278,67.50277009410183,0.48062152735874175,0.1743146261178312,15,46.666666666666664,-34.38185233852087,-4.459071666167269,0.3466135458167331,6,18,50.0,50.0,9,55.55555555555556,44.44444444444444,9,44.44444444444444,55.55555555555556,8,62.5,37.5
only_YINN,s-cooldown40,YINN,2021-08-27,2026-08-27,0.001,74.02191793496785,11.766720130871278,67.50277009410183,0.48062152735874175,0.1743146261178312,15,46.666666666666664,-34.38185233852087,-4.459071666167269,0.3466135458167331,6,18,50.0,50.0,9,55.55555555555556,44.44444444444444,9,44.44444444444444,55.55555555555556,11,63.63636363636363,36.36363636363637
without_SNOW,v5,"TQQQ,MSFT,NFLX,YINN,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2026-08-27,0.001,167.3960849111327,21.834804690672406,15.203498039834217,1.3062145074212277,1.4361697968101619,71,54.929577464788736,-34.38185233852087,3.2947802138015847,0.31881363435148297,26,88,64.77272727272727,35.22727272727273,50,60.0,40.0,38,71.05263157894737,28.947368421052634,53,54.71698113207547,39.62264150943396
