window,group_by,group,trades,symbols,wins,win_rate_pct,mean_return_pct,median_return_pct,worst_return_pct,profit_to_loss,mean_peak_close_gain_pct,mean_giveback_pp,median_giveback_pp,max_giveback_pp,raw_s_count,emitted_s_count,suppressed_s_count
training,exit_s_component,S_BLOWOFF,3,3,3,100.0,68.34193276167777,25.85765548340815,14.444136202171842,0,87.46625924008491,18.787136912875066,14.686066606762036,28.531053279413896,3,3,0
training,exit_s_component,S_BEAR_RALLY,9,5,7,77.77777777777779,24.519131738669188,12.172843726286352,-7.5571202234804735,2,31.953067311371868,7.184523253130258,7.090072683788165,18.02896387355375,9,9,0
training,exit_s_component,S_CROSS,2,2,2,100.0,22.503882702312296,22.503882702312296,16.50919972702114,0,37.877989719702896,15.128731249709073,15.128731249709073,19.71983583265369,2,2,0
training,exit_s_component,S_DELAY,4,3,4,100.0,20.02629835244528,21.562381820383248,8.481864091411184,0,35.0180441335884,14.751332624837115,14.737595065507449,19.71983583265369,4,4,0
training,symbol,AAOI,7,1,2,28.57142857142857,18.492445518634874,-1.91320485993266,-25.39859610915135,5,39.901790750902855,21.172004389331192,26.37362011157598,31.978616072767274,2,2,0
training,symbol,GOOGL,2,1,1,50.0,-3.407421826704576,-3.407421826704576,-23.185264576067965,0,16.006319019195395,19.220265524965004,19.220265524965004,20.88264402279184,0,0,0
training,symbol,MRNA,4,1,1,25.0,-5.341523820061918,-8.996874879923045,-22.72557501230831,2,23.293964244781506,28.445886757947243,27.119439869130808,38.34997972871126,0,0,0
training,symbol,MSFT,2,1,1,50.0,7.071823888481051,7.071823888481051,-21.59643001259398,1,27.70416976731096,20.417880586757974,20.417880586757974,23.050160177711977,0,0,0
training,symbol,NFLX,3,1,3,100.0,33.416352293620236,26.615563913745355,8.481864091411184,0,44.075459988985244,10.391874207387596,9.81030453567988,18.93756346425044,2,2,0
training,symbol,SNOW,8,1,4,50.0,2.7601827593967165,2.909449490855148,-20.634647434082034,4,18.040406655848464,15.074394838829534,16.97755083163004,24.30256378956326,4,4,0
training,symbol,TQQQ,8,1,4,50.0,9.333360938057972,1.6626295779051663,-18.423402686815884,4,26.373554152071364,16.821198054173692,20.067753327837217,28.550309375601447,3,3,0
training,symbol,TSLA,4,1,3,75.0,13.042173583118089,18.338520266777756,-26.593404828411128,0,32.61754649862867,19.348948989089017,18.721306121891324,30.506779651429202,2,2,0
training,symbol,YINN,12,1,5,41.66666666666667,-2.6920636657316876,-6.0080959448238715,-34.38185233852087,5,18.727093342891607,21.224248822426883,24.795109616989908,34.194269407808385,6,3,3
validation,all,all,17,9,11,64.70588235294117,15.256358548990079,3.7543327154057726,-23.72333142580999,5,33.486555983906044,17.999338487139948,20.158623933837706,32.655740956791114,4,4,0
validation,exit_reason,signal,4,4,4,100.0,30.88805642595429,27.362588339449466,1.7986428200842397,0,43.6935165172898,12.543290790106877,10.133607130551969,24.23083467075753,4,4,0
validation,exit_reason,trail,9,6,3,33.33333333333333,-7.404252418126902,-9.627677945506441,-23.72333142580999,5,18.67853730552413,25.897320070398013,25.571277539367962,32.655740956791114,0,0,0
validation,exit_reason,terminal,4,4,4,100.0,50.61103534803907,50.97664809680496,25.093443715662822,0,56.59763747688163,5.684927621842358,4.9343657934765055,11.556148289072144,0,0,0
validation,entry_kind,B,9,8,8,88.88888888888889,17.366988996081155,16.47453362647122,-23.72333142580999,0,34.00045327165877,16.39837772656298,11.556148289072144,32.655740956791114,4,4,0
validation,entry_kind,JF,8,6,3,37.5,12.881899296012612,-7.035561137937252,-13.641687661864788,5,32.90842153518423,19.800419342789027,23.768995031599136,31.829276533526418,0,0,0
validation,entry_kind,B+JF,0,0,0,,,,,0,,,,,0,0,0
validation,entry_component,B_BASE_BULL,2,2,2,100.0,41.751469915652606,41.751469915652606,16.47453362647122,0,50.05443365647548,8.019034978866348,8.019034978866348,10.362955729166657,2,2,0
validation,entry_component,B_STAGE_COMPONENT,4,4,3,75.0,10.904032788506616,14.544409763704369,-23.72333142580999,0,27.65894951150679,16.532775501153477,15.665028486056853,24.89678650056293,1,1,0
validation,entry_component,B_BEAR_RECOVER,3,3,3,100.0,9.72794332646624,1.7986428200842397,0.19275887723202434,0,31.753138028650287,21.805409192240074,24.23083467075753,32.655740956791114,1,1,0
validation,entry_component,B_CRASH_RECOVER,0,0,0,,,,,0,,,,,0,0,0
