window,scope,group_by,group,events,complete,incomplete,symbols,wins,interference,win_rate_pct,interference_rate_pct,mean_ret20_pct,median_ret20_pct,mean_mfe20_pct,mean_mae20_pct
recent,executed,symbol,MRNA,0,0,0,0,0,0,,,,,,
recent,executed,symbol,MSFT,1,1,0,1,1,0,100.0,0.0,-3.560407195088755,-3.560407195088755,1.6284082174716996,-12.382380403326687
recent,executed,symbol,NFLX,1,1,0,1,1,0,100.0,0.0,-10.417956362124968,-10.417956362124968,0.47354240000301306,-12.394483211012219
recent,executed,symbol,NVDA,1,1,0,1,1,0,100.0,0.0,-3.0861267451760432,-3.0861267451760432,1.6000429465880206,-9.885097591919322
recent,executed,symbol,SNOW,0,0,0,0,0,0,,,,,,
recent,executed,symbol,TQQQ,1,1,0,1,0,1,0.0,100.0,6.746327008661979,6.746327008661979,18.73605610405573,-3.7388396955437386
recent,executed,symbol,TSLA,1,1,0,1,0,0,0.0,0.0,1.6577113886942385,1.6577113886942385,9.217066590200119,-6.996689982652571
recent,executed,symbol,YINN,0,0,0,0,0,0,,,,,,
recent,executed,component_set,S_BEAR_RALLY,1,1,0,1,1,0,100.0,0.0,-10.417956362124968,-10.417956362124968,0.47354240000301306,-12.394483211012219
recent,executed,component_set,S_BLOWOFF,2,1,1,1,0,1,0.0,100.0,1.4845605566196074,1.4845605566196074,24.58431919320512,-20.42755643044917
recent,executed,component_set,S_CROSS+S_DELAY,2,2,0,2,1,1,50.0,50.0,1.5929599067866118,1.5929599067866118,10.182232160763714,-8.060610049435212
recent,executed,component_set,S_DELAY,3,3,0,3,2,0,66.66666666666666,0.0,-1.314495682564032,-2.515071691210291,4.461336971096112,-8.936134788547244
recent,ignored_flat,all,all,8,7,1,6,3,4,42.857142857142854,57.14285714285714,2.464459359885951,0.1664970495836915,12.033860826539724,-7.140325797325929
recent,ignored_flat,component,S_BLOWOFF,0,0,0,0,0,0,,,,,,
recent,ignored_flat,component,S_BEAR_RALLY,1,0,1,0,0,0,,,,,,
recent,ignored_flat,component,S_CROSS,1,1,0,1,0,1,0.0,100.0,0.1664970495836915,0.1664970495836915,10.780437851038482,-5.494275612000898
recent,ignored_flat,component,S_DELAY,7,7,0,6,3,4,42.857142857142854,57.14285714285714,2.464459359885951,0.1664970495836915,12.033860826539724,-7.140325797325929
recent,ignored_flat,regime,bull,7,7,0,6,3,4,42.857142857142854,57.14285714285714,2.464459359885951,0.1664970495836915,12.033860826539724,-7.140325797325929
recent,ignored_flat,regime,bear,1,0,1,0,0,0,,,,,,
recent,ignored_flat,regime,unknown,0,0,0,0,0,0,,,,,,
recent,ignored_flat,symbol,AAOI,0,0,0,0,0,0,,,,,,
recent,ignored_flat,symbol,GOOGL,1,1,0,1,0,1,0.0,100.0,16.077589933379286,16.077589933379286,21.389612500709077,-0.2081511952146009
recent,ignored_flat,symbol,MRNA,2,2,0,1,1,1,50.0,50.0,3.1775881957009258,3.1775881957009258,11.621466931664447,-8.306919308149158
recent,ignored_flat,symbol,MSFT,0,0,0,0,0,0,,,,,,
recent,ignored_flat,symbol,NFLX,0,0,0,0,0,0,,,,,,
recent,ignored_flat,symbol,NVDA,0,0,0,0,0,0,,,,,,
recent,ignored_flat,symbol,SNOW,1,1,0,1,1,0,100.0,0.0,-4.568784497172807,-4.568784497172807,12.835504795348962,-10.849808000522799
