position,event_type,group_by,group,events,complete,incomplete,symbols,wins,interference,win_rate_pct,interference_rate_pct,mean_ret20_pct,median_ret20_pct,mean_mfe20_pct,mean_mae20_pct,actual_entries,direct_entries,raw_b_jf_overlap,tradable_b_jf_overlap,suppressed_b_with_buy,pending_setup_rows,confirmed_setup_rows
flat,confirmed_b,component,B_BASE_BULL,1,1,0,1,0,1,0.0,100.0,-2.0202032527164904,-2.0202032527164904,18.518518042811174,-16.531985593545684,1,1,0,0,0,0,1
flat,confirmed_b,component,B_STAGE_COMPONENT,5,4,1,4,2,2,50.0,50.0,-5.529163050890004,-2.198861354700471,6.51009249526287,-13.73825015748753,5,5,0,0,0,0,5
flat,confirmed_b,component,B_BEAR_RECOVER,4,4,0,4,4,0,100.0,0.0,16.74255690791475,9.992738276703228,22.16665596958877,-4.771890568717205,4,4,0,0,0,0,4
flat,confirmed_b,component,B_CRASH_RECOVER,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
flat,confirmed_b,component,multiple,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
flat,confirmed_b,component,none,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
flat,raw_jf,all,all,7,6,1,4,5,1,83.33333333333334,16.666666666666664,19.569210658419767,11.032666261967506,25.369272223474706,-3.8147281643504782,7,0,1,0,0,1,0
flat,raw_jf,symbol,TQQQ,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
flat,raw_jf,symbol,MSFT,1,1,0,1,1,0,100.0,0.0,3.0728492989445355,3.0728492989445355,7.5470172806291425,-4.662253272454475,1,0,0,0,0,0,0
flat,raw_jf,symbol,NFLX,2,2,0,1,2,0,100.0,0.0,12.658140157626551,12.658140157626551,17.828902647270674,-1.4332946423323,2,0,0,0,0,0,0
flat,raw_jf,symbol,YINN,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
flat,raw_jf,symbol,SNOW,2,2,0,1,1,1,50.0,50.0,0.5798566347196941,0.5798566347196941,9.358842455409677,-7.2472780876412966,2,0,0,0,0,0,0
flat,raw_jf,symbol,TSLA,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
flat,raw_jf,symbol,MRNA,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
flat,raw_jf,symbol,NVDA,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
flat,raw_jf,symbol,GOOGL,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
flat,raw_jf,symbol,AAOI,2,1,1,1,1,0,100.0,0.0,87.86642106688159,87.86642106688159,90.29312585485837,-0.8649702537012027,2,0,1,0,0,1,0
