scheme,signal,candidate,dimension,value,events,symbols,base_win_pct,base_noise_pct,brier,base_brier,brier_gain,logloss,base_logloss,high_events,high_symbols,coverage_pct,high_win_pct,high_noise_pct,win_gain_pp,noise_reduction_pp,high_wilson_low_pct,high_wilson_high_pct
time_symbol,jf,decay730,symbol,SNOW,6,1,50.0,50.0,0.28345743640940557,0.28646905006858714,0.0030116136591815668,0.7629703685520576,0.7734144209754169,2,1,33.333333333333336,50.0,50.0,0.0,0.0,9.453120573423075,90.54687942657694
time_symbol,jf,decay730,symbol,TQQQ,6,1,83.33333333333334,16.666666666666664,0.2937476022217531,0.35061074623015837,0.056863144008405246,0.7820462969537476,0.9010426991288152,0,0,0.0,,,,,,
time_symbol,jf,decay730,symbol,TSLA,2,1,100.0,0.0,0.31384617686717364,0.3944653061224489,0.0806191292552753,0.8234444381379037,0.9933660717877842,0,0,0.0,,,,,,
time_symbol,jf,decay730,symbol,YINN,9,1,44.44444444444444,55.55555555555556,0.2572771339476906,0.265057938344183,0.007780804396492446,0.7101215476919908,0.7299110062507416,1,1,11.11111111111111,0.0,100.0,-44.44444444444444,-44.44444444444444,0.0,79.34506856227625
time_symbol,jf,decay730,source_trusted,False,20,4,65.0,35.0,0.23775322984125094,0.28005398033245055,0.042300750491199614,0.6690414146168887,0.7576010532686718,5,4,25.0,80.0,20.0,15.0,15.0,37.55346297625253,96.37758913675698
time_symbol,jf,decay730,source_trusted,True,24,5,70.83333333333334,29.166666666666668,0.2571898285517736,0.2993054202392554,0.04211559168748182,0.7077955206168647,0.795555526370916,4,2,16.666666666666668,75.0,25.0,4.166666666666657,4.166666666666668,30.064184258240186,95.44127391902994
time_symbol,s,decay730,fold_start,2021-08-27,13,8,61.53846153846154,30.76923076923077,0.31172207306893784,0.3069771752972278,-0.004744897771710088,0.8219233666695277,0.8115761254210212,0,0,0.0,,,,,,
time_symbol,s,decay730,fold_start,2022-08-27,15,7,46.666666666666664,46.666666666666664,0.2536298633523181,0.25375355854110543,0.00012369518878743713,0.7004457140927124,0.7005855071479616,0,0,0.0,,,,,,
time_symbol,s,decay730,fold_start,2023-08-27,7,7,71.42857142857143,28.57142857142857,0.26797133568660597,0.29028430373774883,0.02231296805114285,0.7292880855460773,0.7745597310894414,0,0,0.0,,,,,,
time_symbol,s,decay730,fold_start,2024-08-27,12,7,50.0,41.66666666666667,0.2431001416563672,0.2557413888732933,0.012641247216926034,0.6793332125132469,0.7047543122070845,0,0,0.0,,,,,,
time_symbol,s,decay730,fold_start,2025-08-27,14,10,50.0,42.857142857142854,0.24696643139491764,0.2518034955810532,0.004837064186135462,0.6870758230926837,0.6967519981596116,0,0,0.0,,,,,,
time_symbol,s,decay730,symbol,AAOI,8,1,37.5,62.5,0.21588777248691263,0.22179139713884805,0.005903624651935427,0.624457987555119,0.6351950246397167,0,0,0.0,,,,,,
time_symbol,s,decay730,symbol,GOOGL,2,1,50.0,50.0,0.25004686465635134,0.25308641975308643,0.0030395550967350776,0.6932409186589301,0.6993584405592239,0,0,0.0,,,,,,
time_symbol,s,decay730,symbol,MRNA,5,1,80.0,20.0,0.2907817608436812,0.31743923307564464,0.02665747223196349,0.7767193873013687,0.8307142847168076,0,0,0.0,,,,,,
time_symbol,s,decay730,symbol,MSFT,1,1,100.0,0.0,0.24346894567271568,0.308641975308642,0.06517302963592633,0.6800843215734866,0.8109302162163288,0,0,0.0,,,,,,
time_symbol,s,decay730,symbol,NFLX,5,1,80.0,20.0,0.32179569984123707,0.33548034161885465,0.013684641777617506,0.8398347697220381,0.8682002163463999,0,0,0.0,,,,,,
time_symbol,s,decay730,symbol,NVDA,7,1,42.857142857142854,57.14285714285714,0.21618837163608728,0.22418685016038922,0.007998478524301942,0.624918893245758,0.6401112959511269,0,0,0.0,,,,,,
time_symbol,s,decay730,symbol,SNOW,8,1,50.0,37.5,0.2477960783055231,0.2558844055010452,0.008088327195522074,0.6888090475348169,0.7052867220125165,0,0,0.0,,,,,,
time_symbol,s,decay730,symbol,TQQQ,9,1,33.33333333333333,55.55555555555556,0.2602393711956286,0.2420691805960043,-0.018170190599624346,0.7141026028686075,0.6776558230499848,0,0,0.0,,,,,,
time_symbol,s,decay730,symbol,TSLA,8,1,62.5,12.5,0.2815921668790181,0.29349464478652976,0.011902477907511609,0.7578769789156723,0.7825103568422651,0,0,0.0,,,,,,
time_symbol,s,decay730,symbol,YINN,8,1,62.5,37.5,0.3104043659246936,0.30330444294669867,-0.0070999229779949505,0.8184901769728248,0.8031165207904772,0,0,0.0,,,,,,
time_symbol,s,decay730,source_trusted,False,21,5,71.42857142857143,28.57142857142857,0.2995088050384551,0.309802296755281,0.010293491716825804,0.7951075409424277,0.8156738937606969,0,0,0.0,,,,,,
time_symbol,s,decay730,source_trusted,True,40,5,45.0,45.0,0.24544202708962243,0.24793235389745366,0.0024903268078311836,0.6842626947645659,0.6890904576765935,0,0,0.0,,,,,,
time_symbol,b,decay730,fold_start,2021-08-27,6,4,0.0,100.0,0.437886214084942,0.3877132776453583,-0.050172936439583676,1.0840886970539207,0.9749838332748917,1,1,16.666666666666668,0.0,100.0,0.0,0.0,0.0,79.34506856227625
time_symbol,b,decay730,fold_start,2022-08-27,14,8,64.28571428571429,35.714285714285715,0.24896998069526016,0.2426964265278602,-0.006273554167399951,0.6911120809759519,0.678523815509809,0,0,0.0,,,,,,
time_symbol,b,decay730,fold_start,2023-08-27,15,8,46.666666666666664,40.0,0.26283993644346104,0.2616393632468711,-0.0012005731965899712,0.7196724024790313,0.7168733419389539,0,0,0.0,,,,,,
time_symbol,b,decay730,fold_start,2024-08-27,13,8,53.84615384615385,46.15384615384615,0.261245025673047,0.25516517301548425,-0.006079852657562717,0.7156690297491604,0.703505219331369,0,0,0.0,,,,,,
time_symbol,b,decay730,fold_start,2025-08-27,12,9,75.0,25.0,0.23129700329710737,0.2264168925637304,-0.004880110733376915,0.6555989537573739,0.6457932365908484,0,0,0.0,,,,,,
time_symbol,b,decay730,symbol,AAOI,5,1,60.0,40.0,0.25867148718990707,0.2503931385158825,-0.008278348674024516,0.7105406036299176,0.6939381551863548,0,0,0.0,,,,,,
