rule,symbol,entry_date,exit_date,return_pct,hold_days,exit_reason,peak_close_pct,entry_origin
P,TQQQ,2023-01-12,2023-01-31,12.172843726286352,12,signal,19.51845176686615,v5
P,TQQQ,2023-04-28,2023-08-10,47.27595325177787,71,signal,68.11326384875397,additional
P,TQQQ,2023-08-30,2023-10-26,-21.725550069590106,40,trail,2.4378511192259644,additional
P,TQQQ,2023-12-08,2024-04-22,16.11048669444981,91,trail,45.26260014818837,additional
P,TQQQ,2024-05-06,2024-07-22,28.498565677603473,52,signal,48.47578465194693,v5
P,TQQQ,2024-08-06,2024-08-26,26.220476059691066,15,terminal,32.69905581555563,v5
P,MSFT,2021-09-15,2022-04-25,-10.062753731152686,153,trail,13.14053099738921,additional
P,MSFT,2023-03-15,2024-08-26,58.728904648595346,365,terminal,79.84459489202109,additional
P,NFLX,2021-09-23,2022-01-07,-7.181632349000355,74,trail,17.078827328752986,additional
P,NFLX,2022-11-11,2023-02-22,22.718450584994553,68,signal,34.06201318639654,additional
P,NFLX,2023-03-24,2023-07-28,29.348250842444546,86,signal,48.953620309899094,additional
P,NFLX,2023-08-08,2023-10-16,-19.27106782305057,48,trail,1.8893649416009906,additional
P,NFLX,2023-10-25,2024-08-26,65.15162887570416,210,terminal,67.91018287200794,v5
P,YINN,2021-09-23,2021-11-29,-4.459071666167269,46,trail,25.800192888264583,v5
P,YINN,2021-12-31,2022-01-24,6.437643816955396,15,signal,18.052262622978677,v5
P,YINN,2022-02-25,2022-03-08,-26.410032710845943,7,trail,3.318896567212981,v5
P,YINN,2022-03-16,2022-04-12,7.8791593400682425,19,trail,34.52380952380953,v5
P,YINN,2022-08-12,2022-09-07,-11.409216181607517,17,trail,11.929882951640703,v5
P,YINN,2022-10-14,2022-10-25,-34.38185233852087,7,trail,-0.056149518145465205,v5
P,YINN,2022-11-08,2022-12-08,68.81192274062582,21,signal,67.05140981683448,v5
P,YINN,2023-01-04,2023-02-07,1.6724582841518787,23,trail,29.20353982300885,v5
P,YINN,2023-06-14,2023-06-21,-7.5571202234804735,4,signal,10.657007108499927,v5
P,YINN,2023-10-12,2023-11-30,-24.892376600456224,34,trail,-3.064518590127263,v5
P,YINN,2024-01-02,2024-01-17,-26.9742832525411,10,trail,2.832127883109181,v5
P,YINN,2024-07-05,2024-07-31,-8.343384658837927,18,trail,8.287287712224956,additional
P,YINN,2024-08-06,2024-08-26,18.97800480303782,15,terminal,24.476659037613068,v5
P,SNOW,2021-10-08,2021-12-02,7.992065796065795,38,trail,24.251043277500028,additional
P,SNOW,2021-12-09,2022-01-06,-20.634647434082034,19,trail,0.3351324957770352,v5
P,SNOW,2022-01-25,2022-02-14,6.612483502114785,14,signal,13.019943244198174,v5
P,SNOW,2022-03-17,2022-04-19,-0.7935845204045111,22,trail,23.707690116686674,v5
P,SNOW,2022-05-27,2022-08-10,32.27609989487659,50,signal,33.58092577422396,v5
P,SNOW,2022-11-11,2023-01-05,-12.00113687755061,36,trail,11.490729796542198,v5
P,SNOW,2023-01-13,2023-02-06,14.44413620217182,15,signal,27.81765911778349,v5
P,SNOW,2023-06-02,2023-08-16,-12.421505814475264,51,trail,10.841550983704785,additional
P,SNOW,2023-09-01,2024-01-05,16.50919972702114,86,signal,27.280194787458868,v5
P,SNOW,2024-01-09,2024-03-01,-2.4392171058245093,36,trail,20.62356624701158,additional
P,SNOW,2024-06-28,2024-08-06,-14.331088418973547,26,trail,7.090977914117302,v5
P,TSLA,2021-11-18,2021-12-21,-17.307204699392553,22,trail,4.54746242432762,additional
P,TSLA,2021-12-27,2022-01-24,-15.900476166018906,19,trail,11.745689985964415,additional
P,TSLA,2022-02-25,2022-04-27,10.819385050147346,42,trail,41.5481363736643,v5
P,TSLA,2022-09-12,2022-10-04,-16.859798560446492,16,trail,2.776671345311499,additional
P,TSLA,2022-12-05,2022-12-21,-26.593404828411117,12,trail,-3.6898254872679614,v5
P,TSLA,2023-01-18,2023-02-13,42.08505862732797,18,signal,51.81605962995424,v5
P,TSLA,2023-08-30,2023-10-20,-14.80086777030374,36,trail,8.591664775325135,additional
P,TSLA,2024-04-30,2024-07-12,25.857655483408127,50,signal,40.79581547816411,v5
P,TSLA,2024-08-19,2024-08-26,-1.9745737638321659,6,terminal,2.8562199931111643,additional
P,MRNA,2022-01-11,2022-01-20,-22.72557501230831,6,trail,-1.3761064647573318,v5
P,MRNA,2022-02-16,2022-04-22,-3.1678067374243724,45,trail,26.4869309015193,v5
P,MRNA,2022-12-08,2023-02-09,-6.93607059185225,42,trail,17.2621700601969,additional
P,MRNA,2023-08-18,2023-10-17,-14.825943022421717,41,trail,10.122758325063375,v5
P,MRNA,2023-11-03,2024-02-12,19.35322949190672,67,trail,57.94227421730067,v5
P,MRNA,2024-04-24,2024-05-29,34.80427364799645,24,signal,50.03151376114645,additional
P,MRNA,2024-07-17,2024-08-02,-26.098320896007664,12,trail,0.7594197025143412,additional
P,NVDA,2021-09-24,2021-12-14,25.269659314166915,56,signal,51.227932502795646,additional
P,NVDA,2023-02-24,2023-04-26,16.04993830784558,42,signal,20.429500118030553,additional
P,NVDA,2023-07-03,2023-08-11,-1.997911570234101,28,signal,11.705936447128362,additional
P,NVDA,2023-08-22,2024-07-18,152.7118198310222,227,signal,181.75049779028421,additional
P,NVDA,2024-08-14,2024-08-26,6.477018605816065,9,terminal,9.676882347183845,additional
P,GOOGL,2021-10-08,2022-04-25,-14.84061230403273,136,trail,7.35185985662683,additional
P,GOOGL,2023-04-28,2024-08-26,54.92138303105494,334,terminal,78.60612017992653,additional
P,AAOI,2022-01-25,2022-02-28,-14.528879830647135,23,trail,10.075563074715642,v5
P,AAOI,2022-10-19,2022-11-07,-27.108457473238335,13,trail,-1.3651863802616737,additional
P,AAOI,2023-01-13,2023-01-20,-1.9132048599326823,4,signal,4.721035927736872,v5
P,AAOI,2023-03-01,2023-03-28,-36.58910604415202,19,trail,1.805052442619881,additional
P,AAOI,2023-03-29,2023-05-02,-0.1998999999999973,23,trail,26.37362011157598,v5
P,AAOI,2023-05-09,2023-06-22,164.7240065994533,30,signal,193.78530312430712,v5
P,AAOI,2023-08-07,2023-09-08,13.05269057758547,23,trail,39.83739809382292,additional
P,AAOI,2023-09-29,2023-10-05,-20.72615948799017,4,trail,-0.08864605890275268,additional
P,AAOI,2024-01-10,2024-01-18,-21.36004939153253,5,trail,-2.3508157234848115,additional
P,AAOI,2024-04-17,2024-06-21,-25.39859610915135,45,trail,4.1528239334234,v5
P,AAOI,2024-07-11,2024-07-25,-5.003121316486658,10,trail,27.16577388474675,v5
P,AAOI,2024-08-20,2024-08-26,11.766814147208681,5,terminal,13.03841519981419,v5
RP,TQQQ,2021-09-24,2021-12-03,15.10971489835411,49,signal,27.696074430419017,additional
RP,TQQQ,2021-12-08,2022-01-19,-19.917377968107843,28,trail,3.2759615128253206,additional
RP,TQQQ,2022-01-25,2022-02-22,-9.61779533821755,19,trail,19.113549955302723,v5
RP,TQQQ,2022-02-25,2022-03-15,-18.42340268681587,12,trail,4.920004571506165,v5
RP,TQQQ,2022-03-29,2022-04-12,-18.628528213684504,10,trail,1.7067607757601078,additional
RP,TQQQ,2022-05-05,2022-05-13,-26.44360303996054,6,trail,-11.456788616415903,additional
RP,TQQQ,2022-06-03,2022-06-14,-28.80885445581727,7,trail,0.5733330858834762,additional
RP,TQQQ,2022-06-16,2022-08-18,61.74645842324884,43,signal,69.16050991105432,v5
RP,TQQQ,2022-09-12,2022-09-19,-21.148018833532134,5,trail,2.0792114982783882,additional
RP,TQQQ,2022-10-14,2022-11-04,-8.84758457047602,15,trail,13.60199577168546,v5
RP,TQQQ,2023-01-10,2023-01-31,22.873946097739072,14,signal,30.920312904982715,additional
RP,TQQQ,2023-03-06,2023-08-10,72.32483954844528,109,signal,96.70618712055263,additional
RP,TQQQ,2023-08-24,2023-10-26,-20.672459714469092,44,trail,3.8160315230344244,additional
RP,TQQQ,2023-11-06,2024-04-22,34.04451275030864,114,trail,67.69936128979803,additional
RP,TQQQ,2024-04-25,2024-07-22,44.958500871475195,59,signal,67.4946879396453,additional
RP,TQQQ,2024-08-01,2024-08-26,-0.37452937180861845,18,terminal,4.738995607094543,additional
RP,MSFT,2021-09-15,2022-04-25,-10.062753731152686,153,trail,13.14053099738921,additional
RP,MSFT,2022-05-26,2022-10-03,-10.420776716263314,88,trail,11.896142720852755,additional
RP,MSFT,2022-10-05,2024-08-26,67.75617485620332,475,terminal,90.07276194869102,additional
RP,NFLX,2021-09-23,2022-01-07,-7.181632349000355,74,trail,17.078827328752986,additional
