case,rule,symbol,entry_date,exit_date,return_pct,hold_days,exit_reason,peak_close_pct,entry_origin,entry_profit_enabled,entry_stop_pct,entry_limit
full5y,P-confirm5-v5profit50,TQQQ,2025-08-07,2025-08-25,-1.594386733820241,12,signal,4.367929094334877,additional,False,5.0,20.0
full5y,P-confirm5-v5profit50,TQQQ,2025-09-08,2025-10-06,15.474943409266606,20,max_hold,14.348790780075804,additional,False,5.0,20.0
full5y,P-confirm5-v5profit50,TQQQ,2025-10-21,2025-11-18,-7.534607162583451,20,signal,11.779419670269874,additional,False,5.0,20.0
full5y,P-confirm5-v5profit50,TQQQ,2026-04-10,2026-06-10,44.92850827790993,42,signal,76.7017953318747,v5,True,,
full5y,P-confirm5-v5profit50,MSFT,2021-09-16,2021-09-29,-6.330628771426405,9,hard_stop,0.480639784086323,additional,False,5.0,20.0
full5y,P-confirm5-v5profit50,MSFT,2022-02-01,2022-06-14,-21.59643001259399,92,trail,1.6107728298095259,v5,True,,
full5y,P-confirm5-v5profit50,MSFT,2023-04-28,2025-03-11,24.417738511835196,467,profit_lock,53.7975667048124,v5,True,,
full5y,P-confirm5-v5profit50,MSFT,2025-03-25,2026-01-15,17.585348156453094,204,profit_lock,37.60915638871516,v5,True,,
full5y,P-confirm5-v5profit50,MSFT,2026-04-15,2026-06-10,-0.06198834990690516,39,signal,15.708539953183887,v5,True,,
full5y,P-confirm5-v5profit50,MSFT,2026-06-29,2026-08-27,33.52328016515873,43,terminal,34.05562849234271,v5,True,,
full5y,P-confirm5-v5profit50,NFLX,2021-09-30,2021-10-28,10.123966741536506,20,max_hold,10.461310795345401,additional,False,5.0,20.0
full5y,P-confirm5-v5profit50,NFLX,2021-11-17,2021-11-24,-4.826860437044889,5,hard_stop,0.24492567864016213,additional,False,5.0,20.0
full5y,P-confirm5-v5profit50,NFLX,2022-11-14,2022-12-13,12.877351857191965,20,max_hold,10.486208159348065,additional,False,5.0,20.0
full5y,P-confirm5-v5profit50,NFLX,2023-03-27,2023-07-28,26.615563913745333,85,signal,45.80673885961111,v5,True,,
full5y,P-confirm5-v5profit50,NFLX,2023-10-25,2025-01-03,114.25523844028564,299,signal,125.12378143019514,v5,True,,
full5y,P-confirm5-v5profit50,NFLX,2025-03-25,2025-08-01,18.65762523967134,89,profit_lock,36.90015467349741,v5,True,,
full5y,P-confirm5-v5profit50,NFLX,2025-08-12,2025-12-08,-18.636438684823165,82,trail,3.122446488360975,v5,True,,
full5y,P-confirm5-v5profit50,NFLX,2026-02-26,2026-04-20,16.521418373581763,36,signal,29.555294313991777,v5,True,,
full5y,P-confirm5-v5profit50,NFLX,2026-07-20,2026-08-27,16.62821507776968,29,terminal,20.36007570878717,v5,True,,
full5y,P-confirm5-v5profit50,YINN,2021-09-23,2021-11-01,7.253652262093291,27,profit_lock,25.800192888264583,v5,True,,
full5y,P-confirm5-v5profit50,YINN,2021-12-31,2022-01-24,6.437643816955396,15,signal,18.052262622978677,v5,True,,
full5y,P-confirm5-v5profit50,YINN,2022-02-25,2022-03-08,-26.410032710845943,7,trail,3.318896567212981,v5,True,,
full5y,P-confirm5-v5profit50,YINN,2022-03-16,2022-03-18,9.304871428571438,2,profit_lock,21.904763721284404,v5,True,,
full5y,P-confirm5-v5profit50,YINN,2022-08-12,2022-09-07,-11.40921618160753,17,trail,11.929882951640703,v5,True,,
full5y,P-confirm5-v5profit50,YINN,2022-10-14,2022-10-25,-34.38185233852088,7,trail,-0.056149518145465205,v5,True,,
full5y,P-confirm5-v5profit50,YINN,2022-11-08,2022-11-23,20.744507023579484,11,profit_lock,40.468694064616614,v5,True,,
full5y,P-confirm5-v5profit50,YINN,2023-01-04,2023-01-31,11.581807686027613,18,profit_lock,29.20353982300885,v5,True,,
full5y,P-confirm5-v5profit50,YINN,2023-06-14,2023-06-21,-7.557120223480485,4,signal,10.657007108499927,v5,True,,
full5y,P-confirm5-v5profit50,YINN,2023-10-12,2023-11-30,-24.892376600456235,34,trail,-3.064518590127263,v5,True,,
full5y,P-confirm5-v5profit50,YINN,2024-01-02,2024-01-17,-26.97428325254111,10,trail,2.832127883109181,v5,True,,
