case,rule,symbols,start,end,cost,profit_keep,total,cagr,mdd,sharpe,calmar,trades,win,worst_trade,median_trade,exposure,profit_to_loss,entry_events,entry_win,entry_interference,b_events,b_win,b_interference,jf_events,jf_win,jf_interference,s_events,s_win,s_interference,buy_turns,buy_covered,sell_turns,sell_covered
without_SNOW,v5,"TQQQ,MSFT,NFLX,YINN,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2026-08-27,0.001,,167.3960849111327,21.834804690672406,15.203498039834217,1.3062145074212277,1.4361697968101619,71,54.929577464788736,-34.38185233852087,3.2947802138015847,0.31881363435148297,26,88,64.77272727272727,35.22727272727273,50,60.0,40.0,38,71.05263157894737,28.947368421052634,53,54.71698113207547,39.62264150943396,,,,
without_SNOW,P-confirm5-v5profit50,"TQQQ,MSFT,NFLX,YINN,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2026-08-27,0.001,0.5,159.17880187704952,21.07360028099794,16.70468177079778,1.2598256685014635,1.2615385656635294,103,56.310679611650485,-34.38185233852088,6.437643816955396,0.34608233731739707,36,135,62.22222222222222,33.33333333333333,97,58.76288659793815,35.051546391752574,38,71.05263157894737,28.947368421052634,53,54.71698113207547,39.62264150943396,,,,
only_SNOW,v5,SNOW,2021-08-27,2026-08-27,0.001,,45.41179608059094,7.807627623376301,57.86149243006074,0.38101716327201435,0.13493650605043864,11,45.45454545454545,-27.047831583052417,-0.7935845204045111,0.3282868525896414,5,16,37.5,56.25,10,30.0,60.0,6,50.0,50.0,8,50.0,37.5,,,,
only_SNOW,P-confirm5-v5profit50,SNOW,2021-08-27,2026-08-27,0.001,0.5,27.487058348997053,4.997088560737573,56.097583215933625,0.3093589966249755,0.08907849989726882,15,46.666666666666664,-27.047831583052407,-0.6597022778566553,0.349003984063745,5,20,45.0,50.0,14,42.857142857142854,50.0,6,50.0,50.0,8,50.0,37.5,,,,
without_TSLA,v5,"TQQQ,MSFT,NFLX,YINN,SNOW,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2026-08-27,0.001,,161.37140696560596,21.27857674536695,17.489472470639356,1.2676159507253077,1.216650575429796,75,53.333333333333336,-34.38185233852087,1.7986428200841953,0.33253652058432936,29,96,61.458333333333336,37.5,54,57.407407407407405,40.74074074074074,42,66.66666666666666,33.33333333333333,53,52.83018867924528,43.39622641509434,,,,
without_TSLA,P-confirm5-v5profit50,"TQQQ,MSFT,NFLX,YINN,SNOW,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2026-08-27,0.001,0.5,144.44293629013197,19.658844071454418,17.452666177474697,1.1805557650106753,1.126409218599914,107,55.140186915887845,-34.38185233852088,6.437643816955396,0.3574147853032315,38,143,60.83916083916085,34.26573426573427,101,58.415841584158414,34.65346534653465,42,66.66666666666666,33.33333333333333,53,52.83018867924528,43.39622641509434,,,,
only_TSLA,v5,TSLA,2021-08-27,2026-08-27,0.001,,101.84649770517531,15.145584436916447,46.48102029656914,0.6476669109800594,0.3258444918007614,7,57.14285714285714,-26.593404828411128,10.819385050147368,0.2047808764940239,2,8,50.0,50.0,6,33.33333333333333,66.66666666666666,2,100.0,0.0,8,62.5,12.5,,,,
only_TSLA,P-confirm5-v5profit50,TSLA,2021-08-27,2026-08-27,0.001,0.5,142.30863275895445,19.448320418038122,40.58105783951332,0.7605182166321709,0.4792462654608651,11,54.54545454545454,-26.593404828411117,6.17205366457938,0.24701195219123506,3,12,50.0,50.0,10,40.0,60.0,2,100.0,0.0,8,62.5,12.5,,,,
without_MRNA,v5,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,NVDA,GOOGL,AAOI",2021-08-27,2026-08-27,0.001,,179.60361371437443,22.931835744927298,14.09380487357421,1.3465982428870389,1.6270862233891386,74,55.4054054054054,-34.38185233852087,3.8748542635758443,0.3244798583444002,27,90,61.111111111111114,37.77777777777778,54,57.407407407407405,40.74074074074074,36,66.66666666666666,33.33333333333333,56,51.78571428571429,41.07142857142857,,,,
without_MRNA,P-confirm5-v5profit50,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,NVDA,GOOGL,AAOI",2021-08-27,2026-08-27,0.001,0.5,158.76790172061615,21.035033054196695,14.977487053082184,1.2440367873490086,1.4044434142821003,105,53.333333333333336,-34.38185233852088,6.437643816955396,0.35334218680832225,38,138,60.86956521739131,34.05797101449276,102,58.82352941176471,34.31372549019608,36,66.66666666666666,33.33333333333333,56,51.78571428571429,41.07142857142857,,,,
only_MRNA,v5,MRNA,2021-08-27,2026-08-27,0.001,,-4.730592954989454,-0.9683711498738035,49.13825050293683,0.1534022872766261,-0.019707074223489645,8,37.5,-22.72557501230831,-6.488471745151742,0.27729083665338644,4,14,57.14285714285714,42.857142857142854,6,33.33333333333333,66.66666666666666,8,75.0,25.0,5,80.0,20.0,,,,
