scheme,signal,candidate,bin_low,bin_high,events,mean_probability,observed_win_rate
time_symbol,b,dmi,0.0,0.2,0,,
time_symbol,b,dmi,0.2,0.4,3,0.3708246469855568,0.6666666666666666
time_symbol,b,dmi,0.4,0.6,39,0.5272439656721141,0.5384615384615384
time_symbol,b,dmi,0.6,0.8,18,0.6333156007989875,0.5
time_symbol,b,dmi,0.8,1.0,0,,
time_symbol,b,volatility,0.0,0.2,0,,
time_symbol,b,volatility,0.2,0.4,0,,
time_symbol,b,volatility,0.4,0.6,48,0.5354926305166187,0.6041666666666666
time_symbol,b,volatility,0.6,0.8,12,0.6247945058093277,0.25
time_symbol,b,volatility,0.8,1.0,0,,
time_symbol,b,equal_ensemble,0.0,0.2,0,,
time_symbol,b,equal_ensemble,0.2,0.4,0,,
time_symbol,b,equal_ensemble,0.4,0.6,52,0.5389405330179396,0.5769230769230769
time_symbol,b,equal_ensemble,0.6,0.8,8,0.623937470545695,0.25
time_symbol,b,equal_ensemble,0.8,1.0,0,,
