symbol,signal,date,source_trusted,warmup_complete,mature,reference_open,reference_open_date,outcome_date,return20_pct,direction_net_pct,mfe20_pct,mae20_pct,win,gross_win,interference,cmf21,cmf_delta5,mfi14,mfi_delta5,obv_flow20,obv_delta5,adx14,di_balance,relative_natr,range_shock
TQQQ,s,2023-01-30,True,True,True,10.50795003748145,2023-01-31,2023-02-28,0.8660142867192855,-1.0660142867192854,25.113983300179775,-2.689146470557313,False,False,True,0.3006798795014459,0.08247177393960775,0.2963074069292429,-0.012106969037661647,0.2794810520837356,0.017334408766559395,0.2065831852839839,0.27260542371714735,-0.24036398632818717,0.15419486765776197
SNOW,s,2023-02-03,True,True,True,159.74000549316406,2023-02-06,2023-03-06,-11.061723776954224,10.861723776954225,10.147734379395533,-17.91662037798123,True,True,False,0.2577607465745717,0.034218712104152976,0.09392863489543757,-0.18369791838770844,0.3378823098876287,0.1732302263187303,0.19027426443858103,0.3112009593721531,-0.11993001836175543,0.5706236993756724
TSLA,s,2023-02-10,True,True,True,194.4199981689453,2023-02-13,2023-03-13,-10.256147839317931,10.05614783931793,11.948357137290433,-15.692827278150489,True,True,False,0.29223255659456465,-0.024184433088631385,0.4687318632973893,0.002417851147089617,0.5128165598265615,-0.013589580369672283,0.38981126449494263,0.37326007014675006,-0.1480371470528894,0.27722208644376023
NFLX,s,2023-02-21,False,True,True,33.75,2023-02-22,2023-03-21,-9.395554154007524,9.195554154007525,1.3066722728587887,-15.457774974681726,True,True,False,0.11201752340793172,-0.020819920303034284,0.2304179372288499,-0.019151770928105882,0.03319434078351277,-0.16152978624976846,0.231297434088876,-0.07586049382243004,-0.1410971194437786,0.003144093876362601
NFLX,b,2023-03-24,False,True,True,32.755001068115234,2023-03-27,2023-04-24,0.44878447362943774,0.2479873534666499,6.792851172540426,-3.49565080270523,True,True,False,-0.0037744106339204298,0.17565358592547786,0.12763179714960116,0.14348047760377802,0.2547964083137494,0.532219320937606,0.20829447818863828,0.11920079449945774,0.04123372609312738,-0.07771036754462599
AAOI,jf,2023-03-28,True,True,True,1.8200000524520872,2023-03-29,2023-04-26,13.186806780807615,12.960546354052793,29.120870159669067,-4.120881622100391,True,True,False,-0.3519488383341146,-0.10878895513506165,-0.7033594197587558,-0.11623223224995824,-0.2854004978767023,-0.22460619752636227,0.27938251131996494,-0.5623132464737259,0.46765938986433914,-0.1203582149562581
NVDA,s,2023-04-25,True,True,True,26.946709851264895,2023-04-26,2023-05-23,13.650847175856097,-13.850847175856096,17.872753108972827,-1.3961829330896736,False,False,True,0.1750060177805255,-0.027865965755859146,0.12469150043047947,-0.14512112626484414,0.11506068479348103,-0.16329472876626855,0.25822643043210486,0.08844093975241084,-0.26866461281462395,0.23002840240160732
MSFT,b,2023-04-27,False,True,True,304.010009765625,2023-04-28,2023-05-25,7.207000742837644,6.992693948352713,7.529352125117961,-0.2302595916400696,True,True,False,0.14926918037693257,0.015269910473815762,0.018848240048186398,-0.028699649946790515,0.016859677364734534,-0.04990868703123803,0.332731066353464,0.4301246307019568,-0.02680509975147498,0.3222864623831014
AAOI,jf,2023-05-08,True,True,True,1.7699999809265137,2023-05-09,2023-06-06,53.67231965654793,53.365128689554496,59.322031843562925,-7.34463257810768,True,True,False,-0.20481801226477808,-0.17571859115206265,-0.4588872169281768,-0.012550796576445977,-0.06060445667707617,-0.024672866478095738,0.2797347835190236,-0.4415745037977274,0.16107988571957232,0.15102609644545714
YINN,b,2023-06-13,False,True,True,38.65999984741211,2023-06-14,2023-07-13,3.724776596980184,3.5174307685628126,12.59699676954542,-18.494567115237302,True,True,False,-0.039359062381826744,-0.11470005261375571,0.20486734121490188,0.2013690182314801,-0.15395807115012738,0.030175886205653035,0.11925578109674442,0.11517479632540167,-0.1104268684710505,0.0232521314322265
