window,symbol,date,signal,regime,setup_date,setup_regime,wait_bars,B_BASE_BULL,B_STAGE_COMPONENT,B_BEAR_RECOVER,B_CRASH_RECOVER,outcome_complete,outcome_date,ret20_pct,mfe20_pct,mae20_pct,win,interference
validation,TSLA,2025-06-12,s,bull,,,,False,False,False,False,True,2025-07-14,0.9332078429115986,13.877124296850107,-8.026248402412516,False,True
validation,MRNA,2024-11-18,jf,bear,,,,False,False,False,False,True,2024-12-17,4.7949552431417075,21.899981080984855,-7.54596050584484,True,False
validation,MRNA,2024-12-02,b,bear,2024-11-22,bear,5.0,False,False,False,True,True,2024-12-31,-5.457020773446796,7.805817855749808,-14.870397870847253,False,True
validation,MRNA,2025-01-02,b,bear,2024-12-31,bear,1.0,False,False,True,False,True,2025-02-03,-13.491126066128878,15.786977914663458,-24.40236559986363,False,True
validation,MRNA,2025-01-13,jf,bear,,,,False,False,False,False,True,2025-02-11,-12.005692852093286,29.16073842117337,-12.660030070448725,False,True
validation,MRNA,2025-02-14,jf,bear,,,,False,False,False,False,True,2025-03-17,5.022692543819107,15.340392774166812,-11.195155646000243,True,False
validation,MRNA,2025-04-28,b,bear,2025-04-24,bear,2.0,False,False,True,False,True,2025-05-27,-2.566903039465762,10.322224899771303,-15.69269776805835,False,True
validation,MRNA,2025-08-01,s,bear,,,,False,False,False,False,False,,,,,,
validation,NVDA,2025-01-06,b,bull,2025-01-03,bull,1.0,False,True,False,False,True,2025-02-05,-18.427764994412964,0.06535065301793708,-26.151735094462857,False,True
validation,NVDA,2025-01-28,jf,bull,,,,False,False,False,False,True,2025-02-26,3.77865892957594,13.391305018450828,-10.664030348173092,True,False
validation,NVDA,2025-04-07,jf,bear,,,,False,False,False,False,True,2025-05-06,9.372906957797401,11.164643310592371,-9.006838160114249,True,False
validation,GOOGL,2024-09-17,b,bull,2024-09-13,bull,2,False,True,False,False,True,2024-10-15,3.5030689866974773,5.817592278399886,-0.7881862267141493,True,False
validation,AAOI,2024-12-05,s,bull,,,,False,False,False,False,True,2025-01-06,-9.399199962759596,10.253671760637072,-16.341790960094606,True,False
validation,AAOI,2025-03-12,jf,bear,,,,False,False,False,False,True,2025-04-09,-17.97752802652015,40.153760950899596,-41.18864704575267,False,True
validation,AAOI,2025-04-07,jf,bear,,,,False,False,False,False,True,2025-05-06,15.540821095829926,27.89059960071356,-19.51097571280338,True,False
